id_x,courseId,enrollmentDate,completionStatus,completionDate,percentage,userId,learningPathId,name,employeeId,organizationDomainId_x,roleId,joiningDate,designationId,departmentId,id_y,title,duration,difficultyLevel,organizationDomainId_y,id,completionTime,performanceScore,organizationDomainId
1,23,2024-10-07,In Progress,,47,EMP0012,10.0,Derek Walsh,EMP0012,2,1,2021-12-05,2,1,23,Course 23,41,Intermediate,1,,,,
2,18,2022-09-03,Completed,2024-07-18,85,EMP0071,,Christopher Turner,EMP0071,1,2,2022-05-15,1,1,18,Course 18,68,Advanced,2,,,,
3,30,2022-01-09,In Progress,,46,EMP0849,,Lisa Guerra,EMP0849,2,2,2022-05-13,2,1,30,Course 30,46,Intermediate,2,,,,
4,12,2023-09-10,Completed,2024-03-19,87,EMP0819,,Mark Estrada,EMP0819,1,2,2020-01-07,1,1,12,Course 12,114,Advanced,1,,,,
5,46,2020-11-08,In Progress,,17,EMP0161,4.0,Frederick Ayers,EMP0161,1,2,2020-06-12,2,2,46,Course 46,110,Intermediate,1,,,,
6,18,2021-07-06,In Progress,,20,EMP0805,,Lisa Scott,EMP0805,1,1,2021-06-06,2,1,18,Course 18,68,Advanced,2,,,,
7,4,2022-04-18,Completed,2023-11-13,90,EMP0178,,Richard Williams,EMP0178,1,2,2023-12-24,2,1,4,Course 4,55,Intermediate,2,,,,
8,47,2023-10-04,Completed,2024-04-01,71,EMP0972,7.0,Bianca Fleming,EMP0972,1,2,2021-04-27,1,1,47,Course 47,88,Intermediate,1,,,,
9,8,2023-07-09,In Progress,,4,EMP0818,,George Mitchell,EMP0818,1,2,2020-09-08,2,1,8,Course 8,110,Advanced,1,,,,
10,49,2023-09-08,Completed,2023-09-27,85,EMP0971,,Julia Perez,EMP0971,1,1,2023-10-16,2,2,49,Course 49,62,Beginner,2,,,,
11,16,2021-06-24,Completed,2023-04-01,79,EMP0572,10.0,Isaac Casey,EMP0572,1,1,2020-04-26,2,1,16,Course 16,51,Advanced,1,,,,
12,12,2020-07-08,Completed,2023-09-21,70,EMP0402,,Karen Pope,EMP0402,2,1,2022-10-11,2,2,12,Course 12,114,Advanced,1,,,,
13,48,2023-02-02,In Progress,,13,EMP0657,,Amy Gardner,EMP0657,1,2,2021-12-28,2,1,48,Course 48,37,Advanced,1,,,,
14,47,2024-10-10,Completed,2024-10-10,52,EMP0966,2.0,Erin Gardner DDS,EMP0966,1,2,2022-10-25,2,2,47,Course 47,88,Intermediate,1,,,,
15,17,2020-10-25,In Progress,,5,EMP0179,,Michael Butler,EMP0179,2,1,2022-09-18,2,2,17,Course 17,45,Intermediate,2,,,,
16,23,2020-03-20,Completed,2020-10-16,94,EMP0260,8.0,Karen Davis,EMP0260,1,2,2021-05-18,2,1,23,Course 23,41,Intermediate,1,,,,
17,43,2024-04-29,Completed,2024-10-05,77,EMP0097,6.0,Amy Wright,EMP0097,2,2,2024-06-24,2,2,43,Course 43,115,Intermediate,1,,,,
18,31,2023-08-09,Completed,2023-08-30,95,EMP0973,,Margaret Ward,EMP0973,1,1,2021-12-19,2,2,31,Course 31,57,Intermediate,1,,,,
19,22,2024-07-31,Completed,2024-08-07,65,EMP0854,,Jeffrey Jackson,EMP0854,2,1,2020-08-06,1,2,22,Course 22,74,Beginner,2,,,,
20,31,2024-10-07,In Progress,,16,EMP0037,,Alicia Thomas,EMP0037,1,2,2023-07-02,1,1,31,Course 31,57,Intermediate,1,,,,
21,30,2022-06-18,Completed,2024-09-08,85,EMP0494,5.0,Charles Bennett,EMP0494,2,1,2024-04-13,1,2,30,Course 30,46,Intermediate,2,,,,
22,12,2022-08-05,Completed,2023-12-22,56,EMP0490,,Michael Barber,EMP0490,2,2,2021-05-14,1,2,12,Course 12,114,Advanced,1,,,,
23,17,2019-11-18,Completed,2021-04-04,70,EMP0253,7.0,Benjamin Gonzalez,EMP0253,2,1,2023-07-01,2,2,17,Course 17,45,Intermediate,2,,,,
24,41,2020-06-25,In Progress,,32,EMP0270,,Mr. Michael Jones,EMP0270,2,2,2024-01-03,2,2,41,Course 41,115,Advanced,1,,,,
25,24,2024-01-18,In Progress,,50,EMP0017,6.0,Lisa Smith,EMP0017,1,2,2020-01-22,1,1,24,Course 24,115,Advanced,1,,,,
26,47,2022-09-21,Completed,2023-09-07,71,EMP0737,,Anthony Dunlap,EMP0737,2,2,2023-02-28,1,1,47,Course 47,88,Intermediate,1,,,,
27,28,2024-08-10,In Progress,,19,EMP0724,8.0,Janet Jennings,EMP0724,1,1,2022-10-15,1,2,28,Course 28,86,Beginner,2,,,,
28,9,2021-05-01,Completed,2022-03-27,92,EMP0976,,Jonathan Quinn,EMP0976,2,1,2024-01-01,2,2,9,Course 9,47,Advanced,2,,,,
